Disease,Country,Hospital_Type,Treatment_Type,Stay_Days,City,Room_Type,Treatment_Cost,Travel_Expense,Stay_Cost,Total_Cost
Heart Bypass,France,Public,Non-Surgical,33.0,Singapore,VIP Suite,19256.22,1668.1,48951.45,69875.78
Cataract Surgery,USA,Premium International,Chemotherapy,21.0,Dubai,Semi-Private,10753.97,3446.12,6108.37,20308.46
Oncology Treatment,USA,Premium International,Surgical,16.0,Seoul,Semi-Private,50566.97,4519.02,4795.07,59881.06
Spinal Fusion,UK,Private,Chemotherapy,24.0,Dubai,General Ward,9276.68,2296.19,,15167.5
Oncology Treatment,Canada,Private,Chemotherapy,21.0,Bangkok,VIP Suite,59648.31,2877.47,21088.69,83614.47
Cosmetic Surgery,France,Premium International,Chemotherapy,7.0,Mumbai,Semi-Private,6597.06,2832.71,1537.4,10967.16
Spinal Fusion,France,Private,Non-Surgical,29.0,Seoul,Semi-Private,16675.08,1061.44,8649.93,26386.45
Cataract Surgery,Australia,Private,Surgical,3.0,Mumbai,Semi-Private,16031.61,613.92,602.04,17247.58
Spinal Fusion,USA,Premium International,Radiotherapy,12.0,Istanbul,Private,26315.99,3565.39,4818.1,34699.49
Dental Implants,Canada,Premium International,Non-Surgical,19.0,Kuala Lumpur,Private,12480.03,1168.08,6933.67,20581.78
Spinal Fusion,UAE,Public,Surgical,13.0,Singapore,General Ward,7246.06,1040.61,2017.19,10303.87
Cosmetic Surgery,UAE,Public,Radiotherapy,11.0,Istanbul,VIP Suite,2383.21,2198.15,10043.87,14625.23
Dental Implants,UAE,Premium International,Non-Surgical,24.0,Kuala Lumpur,Private,10981.58,2801.0,9879.69,23662.27
Knee Replacement,UAE,Premium International,Surgical,7.0,Mumbai,Semi-Private,17867.25,1686.69,1416.21,20970.15
Dental Implants,USA,Public,Chemotherapy,7.0,Singapore,Private,3528.1,3930.17,4173.9,11632.17
Cosmetic Surgery,Canada,Public,Radiotherapy,19.0,Seoul,Semi-Private,9997.56,3965.19,5898.58,19861.32
Cosmetic Surgery,UAE,Public,Surgical,1.0,Bangkok,Private,7712.08,832.06,451.02,8995.16
Cataract Surgery,Canada,Private,Surgical,27.0,Dubai,Private,,779.77,15910.53,29041.29
Heart Bypass,France,Public,Surgical,11.0,Istanbul,Private,13627.17,2444.28,4669.75,20741.2
Oncology Treatment,Australia,Public,Non-Surgical,21.0,Singapore,General Ward,56378.86,2543.21,3059.15,61981.21
Spinal Fusion,USA,Premium International,Surgical,16.0,Istanbul,Private,18646.36,2283.91,6577.93,27508.21
Cosmetic Surgery,Canada,Premium International,Radiotherapy,3.0,Seoul,General Ward,9677.36,1206.34,446.5,11330.2
Heart Bypass,USA,Public,Surgical,40.0,Seoul,VIP Suite,10935.38,1237.77,62280.07,74453.22
Knee Replacement,USA,Public,Surgical,6.0,Dubai,General Ward,8720.2,2982.98,981.92,12685.11
Spinal Fusion,France,Public,Non-Surgical,7.0,Dubai,Private,13017.98,973.7,4579.6,18571.28
Spinal Fusion,Australia,Premium International,Surgical,30.0,Kuala Lumpur,Semi-Private,14641.47,1966.2,5548.16,22155.84
Knee Replacement,France,Premium International,Radiotherapy,6.0,Mumbai,Private,25613.47,1157.67,2437.18,29208.32
Knee Replacement,UK,Premium International,Radiotherapy,20.0,Istanbul,Semi-Private,13599.76,1622.06,4511.55,19733.37
Oncology Treatment,France,Private,Non-Surgical,1.0,Kuala Lumpur,Private,52160.52,1542.13,405.45,54108.1
Oncology Treatment,Australia,Private,Chemotherapy,1.0,Istanbul,General Ward,55223.41,2943.5,106.44,58273.35
Dental Implants,France,Private,Non-Surgical,1.0,Dubai,Semi-Private,3452.46,2515.57,309.15,6277.18
Cataract Surgery,UK,Premium International,Non-Surgical,15.0,Dubai,VIP Suite,9170.77,1318.86,22336.25,32825.88
Heart Bypass,Germany,Private,Non-Surgical,13.0,Istanbul,General Ward,28799.63,1246.29,,31351.1
Cataract Surgery,Australia,Public,Chemotherapy,22.0,Bangkok,General Ward,5021.09,784.33,2289.15,8094.58
Dental Implants,USA,Premium International,Surgical,22.0,Seoul,Private,6715.22,2887.26,13081.08,22683.56
Knee Replacement,Canada,Public,Non-Surgical,4.0,Singapore,General Ward,11983.4,1406.76,629.14,14019.3
Heart Bypass,UK,Premium International,Surgical,16.0,Singapore,Private,74130.56,2121.3,8728.54,84980.4
Oncology Treatment,UAE,Public,Radiotherapy,23.0,Bangkok,Semi-Private,57081.18,1675.14,4450.84,63207.15
Cataract Surgery,France,Public,Radiotherapy,,Istanbul,General Ward,8599.15,1862.12,2914.25,13375.53
Cataract Surgery,France,Private,Chemotherapy,6.0,Mumbai,VIP Suite,13663.62,1611.1,5339.63,20614.34
Heart Bypass,UAE,Public,Chemotherapy,40.0,Istanbul,Private,39782.76,2652.42,15336.71,57771.89
Heart Bypass,Germany,Premium International,Surgical,23.0,Singapore,Private,43948.6,635.16,13573.9,58157.66
Spinal Fusion,Germany,Premium International,Chemotherapy,15.0,Seoul,General Ward,14303.49,1286.36,2237.46,17827.31
Dental Implants,USA,Private,Non-Surgical,9.0,Bangkok,Private,8726.45,3595.55,3738.62,16060.62
Cosmetic Surgery,UK,Private,Chemotherapy,21.0,Singapore,General Ward,6909.39,2500.66,3121.39,12531.44
Spinal Fusion,UAE,Private,Radiotherapy,26.0,Mumbai,General Ward,12858.05,2073.83,2712.13,17644.01
Cosmetic Surgery,USA,Private,Radiotherapy,23.0,Seoul,Semi-Private,10741.77,2775.1,7057.49,20574.36
Oncology Treatment,UK,Private,Surgical,26.0,Mumbai,Private,25884.78,952.42,10993.41,37830.62
Knee Replacement,USA,Public,Radiotherapy,21.0,Bangkok,General Ward,6313.39,1801.67,2093.69,10208.75
Knee Replacement,Australia,Public,Surgical,10.0,Bangkok,General Ward,5768.91,1616.28,941.04,8326.23
Spinal Fusion,UK,Premium International,Surgical,24.0,Bangkok,Private,21976.83,2384.6,9689.5,34050.92
Knee Replacement,France,Public,Radiotherapy,8.0,Kuala Lumpur,Private,2461.58,2180.95,3101.92,7744.45
Spinal Fusion,USA,Private,Non-Surgical,38.0,Kuala Lumpur,VIP Suite,5734.8,1515.46,39435.77,46686.03
Cosmetic Surgery,UAE,Private,Chemotherapy,20.0,Mumbai,General Ward,12028.57,2028.53,1951.77,16008.87
Cataract Surgery,USA,Public,Chemotherapy,10.0,Istanbul,Semi-Private,2897.53,2320.05,1998.78,7216.36
Cosmetic Surgery,Germany,Private,Surgical,29.0,Bangkok,Semi-Private,2892.31,703.08,5696.73,9292.13
Cosmetic Surgery,Germany,Private,Radiotherapy,16.0,Seoul,VIP Suite,15180.67,1682.77,23421.22,40284.66
Spinal Fusion,Germany,Public,Radiotherapy,39.0,Dubai,Private,15398.65,2801.9,24606.22,42806.77
Oncology Treatment,France,Private,Surgical,15.0,Kuala Lumpur,Semi-Private,40905.0,1004.55,3181.2,45090.76
Spinal Fusion,Germany,Premium International,Non-Surgical,30.0,Bangkok,VIP Suite,4002.02,1021.55,30092.86,35116.44
Cosmetic Surgery,USA,Private,Surgical,23.0,Seoul,General Ward,3443.48,3699.07,3353.36,10495.91
Spinal Fusion,France,Private,Non-Surgical,,Singapore,Semi-Private,19013.47,1335.39,7239.86,27588.72
Spinal Fusion,Canada,Public,Surgical,35.0,Seoul,Private,6596.66,3752.82,21382.49,31731.98
Oncology Treatment,UAE,Premium International,Surgical,28.0,Bangkok,General Ward,20051.55,2838.07,2681.04,25570.66
Knee Replacement,UAE,Premium International,Surgical,23.0,Kuala Lumpur,VIP Suite,15122.57,603.73,23506.6,39232.9
Knee Replacement,Australia,Private,Surgical,11.0,Kuala Lumpur,VIP Suite,15961.67,1261.12,9727.05,26949.84
Cataract Surgery,USA,Public,Surgical,9.0,Mumbai,VIP Suite,4245.14,4090.4,9474.65,17810.19
Dental Implants,USA,Premium International,Radiotherapy,22.0,Seoul,General Ward,7210.54,4522.76,3012.13,14745.44
Knee Replacement,UK,Public,Chemotherapy,15.0,Seoul,Semi-Private,10949.73,2324.19,4499.37,17773.3
Spinal Fusion,UK,Premium International,Radiotherapy,,Bangkok,VIP Suite,17697.6,639.82,29022.74,47360.16
Oncology Treatment,USA,Public,Non-Surgical,23.0,Bangkok,Private,19429.8,2234.11,9238.93,30902.85
Spinal Fusion,Canada,Private,Radiotherapy,15.0,Istanbul,General Ward,17803.29,3278.13,1433.66,22515.08
Oncology Treatment,Germany,Private,Surgical,6.0,Istanbul,Private,28805.63,2631.24,2442.4,33879.27
Dental Implants,UAE,Private,Surgical,18.0,Seoul,Private,7852.67,866.07,11351.61,20070.35
Oncology Treatment,USA,Premium International,Non-Surgical,23.0,Kuala Lumpur,VIP Suite,104497.23,1214.94,22412.36,128124.54
Cosmetic Surgery,USA,Public,Non-Surgical,18.0,Istanbul,Private,4950.15,2361.78,7371.59,14683.53
Cosmetic Surgery,UK,Premium International,Surgical,7.0,Kuala Lumpur,General Ward,20430.13,2692.32,679.83,23802.28
Heart Bypass,Canada,Premium International,Chemotherapy,27.0,Dubai,Semi-Private,54416.95,3579.3,8319.86,66316.11
Cosmetic Surgery,Canada,Premium International,Non-Surgical,20.0,Seoul,Semi-Private,8836.85,3510.4,6468.96,18816.22
Spinal Fusion,France,Private,Chemotherapy,19.0,Istanbul,VIP Suite,17569.1,1329.75,20070.87,38969.72
Knee Replacement,Germany,Private,Chemotherapy,4.0,Istanbul,VIP Suite,11841.53,1059.81,3854.54,16755.88
Oncology Treatment,Canada,Premium International,Non-Surgical,17.0,Bangkok,General Ward,39633.66,4242.06,1661.73,45537.46
Heart Bypass,Germany,Premium International,Radiotherapy,43.0,Seoul,VIP Suite,64103.25,2903.11,64682.47,131688.83
Cosmetic Surgery,USA,Public,Radiotherapy,23.0,Dubai,General Ward,7270.33,3715.43,3430.34,14416.09
Knee Replacement,USA,Premium International,Chemotherapy,6.0,Kuala Lumpur,VIP Suite,7653.6,3123.45,5880.03,16657.07
Cosmetic Surgery,Australia,Public,Surgical,17.0,Istanbul,VIP Suite,13783.15,1556.41,16815.42,32154.98
Cataract Surgery,UK,Public,Radiotherapy,28.0,Seoul,VIP Suite,3953.49,2165.39,42134.67,48253.55
Spinal Fusion,Germany,Private,Non-Surgical,32.0,Mumbai,Private,5374.54,1386.41,12658.85,19419.8
Cosmetic Surgery,France,Premium International,Non-Surgical,17.0,Mumbai,Semi-Private,4678.14,662.2,3269.6,8609.94
Cosmetic Surgery,France,Public,Non-Surgical,5.0,Seoul,Semi-Private,4353.82,1303.77,1482.71,7140.3
Dental Implants,UK,Private,Chemotherapy,16.0,Seoul,Semi-Private,2049.95,2107.58,4817.93,8975.45
Heart Bypass,France,Public,Surgical,7.0,Bangkok,Private,20298.55,2799.88,2810.99,25909.42
Heart Bypass,UK,Private,Radiotherapy,35.0,Bangkok,Private,52725.97,2616.85,15040.85,70383.67
Cataract Surgery,Australia,Private,Radiotherapy,18.0,Mumbai,General Ward,15057.35,578.88,1846.5,17482.73
Spinal Fusion,UAE,Private,Chemotherapy,22.0,Kuala Lumpur,VIP Suite,12603.15,1834.49,21570.3,36007.94
Spinal Fusion,France,Private,Surgical,18.0,Istanbul,Private,12404.76,924.72,7298.47,20627.95
Knee Replacement,UAE,Premium International,Chemotherapy,11.0,Seoul,General Ward,25553.16,1635.46,1505.85,28694.47
Heart Bypass,France,Private,Surgical,33.0,Mumbai,VIP Suite,24612.48,699.3,32574.01,57885.8
Knee Replacement,USA,Premium International,Non-Surgical,26.0,Bangkok,General Ward,8043.72,4399.36,2753.03,15196.11
Heart Bypass,France,Public,Surgical,22.0,Bangkok,General Ward,41416.66,2100.12,2228.59,45745.37
Knee Replacement,Germany,Public,Surgical,3.0,Seoul,VIP Suite,7100.77,1191.91,4844.81,
Dental Implants,UAE,Private,Non-Surgical,1.0,Istanbul,Private,8866.14,597.01,382.22,9845.38
Oncology Treatment,Germany,Private,Non-Surgical,28.0,Seoul,Semi-Private,56972.54,2666.87,7969.25,67608.66
Cosmetic Surgery,France,Private,Surgical,27.0,Mumbai,VIP Suite,14173.7,2979.11,25384.65,42537.46
Knee Replacement,Australia,Premium International,Surgical,21.0,Singapore,General Ward,10510.33,2303.19,3117.8,15931.31
Oncology Treatment,Germany,Private,Chemotherapy,19.0,Kuala Lumpur,VIP Suite,47479.27,1848.6,19613.67,68941.54
Heart Bypass,Canada,Public,Non-Surgical,7.0,Seoul,Private,39436.93,1468.76,4270.33,45176.03
Cataract Surgery,USA,Private,Non-Surgical,22.0,Mumbai,General Ward,14947.27,3782.21,2256.0,20985.48
Dental Implants,Canada,Premium International,Surgical,26.0,Istanbul,General Ward,4569.3,3267.11,2504.14,10340.55
Heart Bypass,France,Private,Surgical,22.0,Bangkok,Private,34557.56,2716.48,8949.84,46223.88
Oncology Treatment,USA,Public,Surgical,16.0,Kuala Lumpur,Semi-Private,9402.35,3000.27,3222.11,15624.74
Dental Implants,Canada,Premium International,Non-Surgical,17.0,Singapore,Semi-Private,6551.09,2829.42,4870.15,14250.66
Heart Bypass,Germany,Premium International,Surgical,28.0,Singapore,Private,56885.34,893.61,16873.6,74652.56
Heart Bypass,Australia,Public,Chemotherapy,40.0,Seoul,VIP Suite,49391.37,1152.35,,112594.91
Heart Bypass,Australia,Premium International,Non-Surgical,14.0,Istanbul,General Ward,73659.36,3048.97,1332.33,78040.67
Knee Replacement,USA,Premium International,Chemotherapy,9.0,Mumbai,Semi-Private,18236.3,4138.55,1885.21,24260.06
Heart Bypass,Germany,Private,Radiotherapy,31.0,Seoul,General Ward,19659.16,1823.46,4510.24,25992.85
Knee Replacement,Germany,Public,Surgical,2.0,Bangkok,General Ward,12734.66,1423.09,197.53,14355.28
Cataract Surgery,France,Premium International,Radiotherapy,26.0,Mumbai,Semi-Private,14036.44,2666.57,5323.57,22026.58
Cataract Surgery,France,Private,Chemotherapy,5.0,Dubai,Private,4959.0,2413.82,3000.11,10372.94
Heart Bypass,France,Private,Non-Surgical,20.0,Mumbai,VIP Suite,40560.83,1217.22,19979.09,61757.15
Spinal Fusion,Australia,Public,Chemotherapy,15.0,Mumbai,General Ward,11197.92,1992.87,1483.47,14674.26
Knee Replacement,Germany,Premium International,Surgical,6.0,Bangkok,VIP Suite,25832.13,623.88,5607.3,32063.32
Knee Replacement,Germany,Premium International,Chemotherapy,18.0,Mumbai,Semi-Private,16651.41,2919.16,3380.87,22951.44
Oncology Treatment,UAE,Private,Surgical,11.0,Seoul,Semi-Private,30248.74,2887.86,3318.55,36455.15
Cataract Surgery,USA,Public,Chemotherapy,13.0,Mumbai,General Ward,12946.7,2940.77,1244.01,17131.49
Heart Bypass,France,Private,Chemotherapy,24.0,Singapore,General Ward,60155.01,2343.98,3542.8,66041.8
Cosmetic Surgery,UK,Public,Surgical,22.0,Seoul,Private,13701.04,2916.19,12921.64,29538.88
Dental Implants,Germany,Private,Chemotherapy,22.0,Bangkok,Private,2884.44,1308.93,9059.0,13252.37
Heart Bypass,Australia,Public,Surgical,13.0,Seoul,General Ward,35571.28,2467.62,1837.64,39876.54
Cosmetic Surgery,USA,Premium International,Chemotherapy,10.0,Kuala Lumpur,Semi-Private,24389.77,2186.31,2007.45,28583.53
Cataract Surgery,UK,Private,Radiotherapy,5.0,Bangkok,General Ward,4040.31,635.15,518.06,5193.52
Spinal Fusion,UAE,Premium International,Surgical,17.0,Dubai,Private,7765.69,2224.51,9871.37,19861.58
Spinal Fusion,Australia,Premium International,Radiotherapy,32.0,Bangkok,General Ward,25130.0,1129.13,3247.28,29506.41
Cosmetic Surgery,Canada,Premium International,Non-Surgical,20.0,Singapore,Private,11356.62,773.89,11837.23,23967.75
Oncology Treatment,Australia,Private,Non-Surgical,5.0,Istanbul,VIP Suite,19529.4,2279.94,4760.94,26570.28
Spinal Fusion,UK,Premium International,Surgical,8.0,Dubai,VIP Suite,7111.03,735.79,12987.82,20834.64
Cataract Surgery,Canada,Public,Non-Surgical,6.0,Istanbul,VIP Suite,10515.97,2762.91,6484.07,19762.95
Cataract Surgery,Germany,Private,Radiotherapy,18.0,Mumbai,VIP Suite,12177.34,977.55,17141.5,30296.39
Heart Bypass,Australia,Public,Radiotherapy,28.0,Singapore,Semi-Private,44479.61,1977.1,8415.17,54871.87
Dental Implants,UAE,Premium International,Chemotherapy,7.0,Kuala Lumpur,General Ward,8734.03,1191.1,701.13,10626.25
Dental Implants,France,Public,Surgical,3.0,Kuala Lumpur,Semi-Private,1273.35,1354.54,600.65,3228.55
Dental Implants,UK,Private,Non-Surgical,12.0,Singapore,General Ward,1259.14,2840.99,1919.49,6019.61
Cataract Surgery,USA,Private,Radiotherapy,9.0,Mumbai,VIP Suite,2900.65,4158.97,8722.92,15782.53
Cosmetic Surgery,USA,Premium International,Chemotherapy,10.0,Kuala Lumpur,General Ward,11149.53,1148.92,978.02,13276.47
Spinal Fusion,UK,Public,Radiotherapy,24.0,Bangkok,Private,7853.6,984.73,9652.04,18490.37
Heart Bypass,UAE,Public,Radiotherapy,23.0,Mumbai,Private,28637.0,2308.94,8265.1,39211.05
Cataract Surgery,UK,Premium International,Chemotherapy,21.0,Dubai,Semi-Private,6868.44,1769.58,6576.16,15214.18
Heart Bypass,France,Private,Surgical,19.0,Dubai,Private,11442.7,1758.7,11386.86,24588.26
Oncology Treatment,Germany,Public,Non-Surgical,7.0,Istanbul,General Ward,52232.0,1071.28,694.77,53998.06
Oncology Treatment,Germany,Public,Radiotherapy,26.0,Mumbai,Private,20904.94,574.89,9801.54,
Knee Replacement,UK,Premium International,Surgical,8.0,Seoul,Semi-Private,21274.53,2495.01,2209.24,25978.78
Oncology Treatment,France,Public,Non-Surgical,4.0,Singapore,Semi-Private,27665.2,1558.0,1367.94,30591.14
Dental Implants,France,Premium International,Chemotherapy,18.0,Seoul,Private,5655.25,1501.31,10153.8,17310.36
Oncology Treatment,Canada,Public,Non-Surgical,7.0,Mumbai,VIP Suite,45879.3,2546.77,6500.89,54926.96
Oncology Treatment,UAE,Public,Radiotherapy,19.0,Singapore,General Ward,24571.64,1266.44,2999.29,28837.38
Spinal Fusion,Canada,Premium International,Surgical,38.0,Seoul,General Ward,23947.4,2375.36,5656.06,31978.83
Oncology Treatment,France,Premium International,Radiotherapy,3.0,Bangkok,VIP Suite,89806.01,2578.31,3074.67,95458.99
Cosmetic Surgery,Australia,Public,Radiotherapy,24.0,Kuala Lumpur,VIP Suite,2446.97,1547.54,24100.93,28095.44
Cosmetic Surgery,USA,Public,Surgical,24.0,Bangkok,General Ward,3716.25,3134.67,2416.91,9267.83
Dental Implants,UK,Premium International,Radiotherapy,15.0,Istanbul,Private,2719.62,2783.41,5916.39,11419.42
Knee Replacement,France,Premium International,Chemotherapy,20.0,Kuala Lumpur,VIP Suite,26927.76,2866.69,21607.05,51401.49
Spinal Fusion,UK,Public,Radiotherapy,36.0,Dubai,Private,2219.19,609.51,21295.34,24124.04
Dental Implants,UAE,Private,Radiotherapy,3.0,Kuala Lumpur,General Ward,7097.49,1125.32,295.27,8518.08
Oncology Treatment,Germany,Premium International,Surgical,29.0,Dubai,VIP Suite,27495.66,2302.15,44662.32,74460.14
Spinal Fusion,Canada,Premium International,Surgical,36.0,Istanbul,VIP Suite,10738.93,1978.71,35745.52,48463.15
Cataract Surgery,Germany,Private,Chemotherapy,2.0,Seoul,Private,15745.61,1669.68,1266.08,18681.36
Knee Replacement,France,Premium International,Non-Surgical,21.0,Istanbul,VIP Suite,8726.77,1178.13,19167.8,29072.7
Heart Bypass,Australia,Premium International,Non-Surgical,14.0,Istanbul,General Ward,63144.53,694.72,1424.43,65263.68
Dental Implants,France,Premium International,Non-Surgical,10.0,Seoul,Semi-Private,8151.86,653.52,2990.0,11795.38
Knee Replacement,UAE,Premium International,Chemotherapy,5.0,Bangkok,Semi-Private,20011.25,573.17,1001.59,21586.01
Dental Implants,Australia,Public,Radiotherapy,4.0,Dubai,VIP Suite,5197.62,1188.02,5615.0,12000.64
Dental Implants,Germany,Public,Non-Surgical,17.0,Mumbai,Private,6166.65,1004.62,6682.52,13853.79
Oncology Treatment,UAE,Public,Non-Surgical,28.0,Istanbul,Semi-Private,38762.13,1283.38,5558.51,45604.02
Heart Bypass,Australia,Public,Non-Surgical,42.0,Singapore,General Ward,35102.03,,6309.22,44088.51
Dental Implants,Canada,Private,Surgical,1.0,Singapore,Semi-Private,3465.07,3665.59,320.54,7451.2
Spinal Fusion,Australia,Premium International,Non-Surgical,42.0,Mumbai,General Ward,18934.02,2425.57,3866.07,25225.65
Oncology Treatment,USA,Premium International,Chemotherapy,16.0,Dubai,General Ward,40162.25,3159.7,2302.32,45624.27
Heart Bypass,UAE,Private,Surgical,42.0,Mumbai,Semi-Private,19997.22,2456.07,9022.57,31475.86
Dental Implants,Canada,Public,Surgical,27.0,Kuala Lumpur,Semi-Private,2722.99,1259.03,5766.48,9748.5
Cosmetic Surgery,France,Public,Surgical,27.0,Istanbul,Semi-Private,14133.04,1194.96,5554.54,20882.55
Cataract Surgery,France,Premium International,Non-Surgical,19.0,Mumbai,General Ward,6281.32,1371.1,1865.95,9518.37
Oncology Treatment,France,Premium International,Radiotherapy,3.0,Mumbai,Semi-Private,100755.06,2106.05,622.09,103483.2
Heart Bypass,France,Public,Chemotherapy,27.0,Bangkok,Private,7707.78,2581.16,10173.0,20461.94
Cataract Surgery,USA,Premium International,Surgical,26.0,Kuala Lumpur,General Ward,11561.76,792.36,2559.8,14913.93
Cosmetic Surgery,Germany,Public,Chemotherapy,6.0,Mumbai,VIP Suite,1992.53,2796.0,5724.79,10513.32
Knee Replacement,France,Public,Chemotherapy,25.0,Bangkok,Private,6128.79,864.49,10018.79,17012.07
Heart Bypass,Australia,Private,Chemotherapy,18.0,Mumbai,Semi-Private,43936.47,2756.75,3674.99,50368.21
Dental Implants,Canada,Premium International,Surgical,25.0,Istanbul,Private,6217.83,1374.38,9886.0,17478.21
Heart Bypass,Germany,Public,Chemotherapy,11.0,Dubai,VIP Suite,9267.16,661.72,17216.15,27145.03
Cosmetic Surgery,France,Premium International,Surgical,5.0,Mumbai,General Ward,16320.97,3031.62,489.59,19842.18
Oncology Treatment,USA,Public,Chemotherapy,27.0,Dubai,Private,48868.36,781.54,17353.95,67003.84
Heart Bypass,UAE,Private,Non-Surgical,35.0,Dubai,Private,37787.76,1954.82,19049.65,58792.22
Heart Bypass,UK,Public,Chemotherapy,25.0,Bangkok,Private,17513.81,1950.05,10583.6,30047.46
Knee Replacement,UK,Public,Chemotherapy,10.0,Seoul,General Ward,7698.25,2349.99,1525.52,11573.75
Dental Implants,France,Private,Non-Surgical,7.0,Bangkok,General Ward,5443.81,1739.95,687.97,7871.73
Heart Bypass,Australia,Private,Non-Surgical,37.0,Mumbai,Private,47604.93,2107.73,14407.23,64119.89
Heart Bypass,France,Public,Non-Surgical,22.0,Kuala Lumpur,Private,31703.6,1870.25,8247.45,41821.3
Dental Implants,Germany,Private,Non-Surgical,4.0,Kuala Lumpur,Private,9933.49,1699.33,1617.47,13250.29
Spinal Fusion,UAE,Private,Surgical,12.0,Bangkok,Private,3358.05,1756.68,4911.16,10025.89
Spinal Fusion,Australia,Public,Non-Surgical,25.0,Bangkok,VIP Suite,5583.53,1849.53,24662.56,32095.63
Dental Implants,Australia,Private,Chemotherapy,28.0,Dubai,General Ward,7929.03,1618.85,4047.14,13595.02
Oncology Treatment,France,Public,Radiotherapy,18.0,Istanbul,Private,28748.64,859.58,7387.81,36996.04
Dental Implants,Canada,Premium International,Chemotherapy,28.0,Bangkok,Semi-Private,,3342.3,5084.47,16784.6
Cosmetic Surgery,UAE,Public,Non-Surgical,4.0,Mumbai,Private,3883.79,694.99,1667.5,6246.28
Dental Implants,Germany,Private,Non-Surgical,29.0,Seoul,General Ward,5668.98,1641.2,3997.11,11307.29
Cosmetic Surgery,Canada,Public,Chemotherapy,15.0,Mumbai,VIP Suite,11488.07,3514.62,14484.47,29487.16
Cataract Surgery,France,Private,Radiotherapy,26.0,Dubai,Private,8370.01,781.26,15335.52,24486.79
Spinal Fusion,Germany,Public,Chemotherapy,9.0,Singapore,Semi-Private,6170.29,2343.75,2474.72,10988.76
Cataract Surgery,France,Public,Non-Surgical,16.0,Dubai,VIP Suite,3579.84,2371.83,24405.32,30356.99
Oncology Treatment,Canada,Premium International,Surgical,24.0,Bangkok,VIP Suite,81859.73,1527.14,25022.13,108409.0
Heart Bypass,France,Premium International,Non-Surgical,33.0,Mumbai,General Ward,56711.23,2948.09,3379.32,63038.64
Cosmetic Surgery,UK,Private,Surgical,7.0,Istanbul,General Ward,18894.99,505.4,705.52,20105.91
Cataract Surgery,Germany,Premium International,Chemotherapy,14.0,Kuala Lumpur,General Ward,25854.92,719.27,1404.7,27978.89
Dental Implants,Germany,Private,Radiotherapy,2.0,Bangkok,VIP Suite,9451.47,1801.64,1824.46,13077.57
Cosmetic Surgery,UK,Private,Surgical,6.0,Mumbai,Private,2516.32,1966.79,2455.97,6939.08
Dental Implants,Canada,Private,Radiotherapy,7.0,Seoul,Semi-Private,4236.34,1683.31,1866.92,7786.57
Dental Implants,Germany,Private,Radiotherapy,16.0,Istanbul,Semi-Private,6691.57,1969.12,2975.03,11635.71
Heart Bypass,UAE,Premium International,Surgical,43.0,Mumbai,General Ward,51359.93,1304.43,4675.09,57339.45
Cosmetic Surgery,Canada,Premium International,Chemotherapy,20.0,Dubai,VIP Suite,23342.16,3898.68,30560.67,57801.52
Heart Bypass,Germany,Premium International,Non-Surgical,21.0,Istanbul,VIP Suite,37300.06,1146.63,21493.61,59940.3
Heart Bypass,Australia,Premium International,Radiotherapy,10.0,Seoul,General Ward,73672.48,1562.6,1387.0,76622.08
Cosmetic Surgery,France,Premium International,Non-Surgical,18.0,Dubai,Private,5107.21,2081.53,10750.38,17939.12
Spinal Fusion,Canada,Public,Chemotherapy,29.0,Seoul,General Ward,11981.83,3383.88,4432.69,19798.4
Cataract Surgery,Canada,Private,Chemotherapy,27.0,Seoul,General Ward,2721.37,4102.2,4384.42,11207.99
Cosmetic Surgery,UK,Public,Chemotherapy,27.0,Dubai,Private,5243.29,2078.01,17004.3,24325.59
Dental Implants,Germany,Public,Non-Surgical,14.0,Istanbul,Private,7181.29,2702.38,5173.24,
Cataract Surgery,UK,Premium International,Chemotherapy,15.0,Mumbai,Semi-Private,9547.17,2791.1,3005.32,15343.59
Spinal Fusion,Canada,Premium International,Radiotherapy,17.0,Istanbul,Private,16284.81,3746.34,6889.26,26920.41
Knee Replacement,Germany,Premium International,Surgical,12.0,Singapore,Semi-Private,17232.24,2419.85,3702.96,23355.05
Knee Replacement,UK,Public,Surgical,20.0,Singapore,VIP Suite,4605.43,933.92,29300.68,34840.03
Cataract Surgery,Canada,Private,Non-Surgical,29.0,Mumbai,Semi-Private,5574.74,1695.22,5473.32,12743.28
Knee Replacement,Canada,Premium International,Radiotherapy,19.0,Seoul,Semi-Private,19722.33,2814.96,5236.05,27773.34
Cataract Surgery,Canada,Private,Non-Surgical,7.0,Seoul,General Ward,6084.52,2208.08,1093.92,9386.52
Spinal Fusion,Australia,Private,Non-Surgical,13.0,Bangkok,Semi-Private,13027.33,1688.59,2533.23,17249.15
Heart Bypass,USA,Private,Chemotherapy,21.0,Kuala Lumpur,General Ward,43974.36,1562.68,2338.15,47875.18
Knee Replacement,UK,Public,Radiotherapy,8.0,Istanbul,Private,2892.78,571.34,3285.68,6749.8
Knee Replacement,UAE,Public,Non-Surgical,12.0,Singapore,VIP Suite,10583.24,2232.3,16970.71,29786.25
Spinal Fusion,Germany,Premium International,Chemotherapy,26.0,Istanbul,VIP Suite,12168.81,2927.26,26234.38,41330.45
Cataract Surgery,Canada,Premium International,Non-Surgical,2.0,Dubai,Private,19930.78,924.39,1236.86,
